term_name,category,definition,detailed_description,examples,related_terms,musical_context
Beat,rhythm_and_meter,"The basic unit of time in music, representing the regular pulse that underlies musical rhythm. Beats are organized into measures and provide the foundation for rhythmic patterns.",,,,
BPM,rhythm_and_meter,"Beats Per Minute - a unit of measurement for tempo in music, indicating how many beats occur in one minute. Standard method for precisely defining musical speed.",,,,
Decelerando,rhythm_and_meter,"A gradual decrease in tempo, also known as ritardando, used to create musical expression and often appearing at the end of musical phrases or sections.",,,,
Groove,rhythm_and_meter,"The rhythmic feel or ""pocket"" of a musical performance, encompassing timing, accent patterns, and the interaction between rhythm section instruments to create a compelling rhythmic foundation.",,,,
Meter,rhythm_and_meter,"The organization of beats into recurring patterns of strong and weak pulses, typically notated as time signatures (e.g., 4/4, 3/4, 6/8).",,,,
Moderato,rhythm_and_meter,"A moderate tempo marking, typically around 108-120 beats per minute, indicating a walking pace that is neither fast nor slow.",,,,
Pickup,rhythm_and_meter,"One or more notes that occur before the first strong beat of a musical phrase, also called an anacrusis or upbeat. Creates forward momentum into the phrase.",,,,
Polyrhythm,rhythm_and_meter,"The simultaneous use of two or more conflicting rhythmic patterns, often with different time signatures or accent patterns occurring at the same time.",,,,
Pulse,rhythm_and_meter,"The underlying steady beat in music that provides the foundation for rhythm and meter, felt as the regular occurrence of strong and weak beats.",,,,
Rallentando,rhythm_and_meter,"A gradual slowing of tempo, similar to ritardando, used for expressive purposes and often found at phrase endings or climactic moments.",,,,
Rapido,rhythm_and_meter,"A very fast tempo marking, indicating quick, rapid movement in musical performance.",,,,
Rhythm,rhythm_and_meter,"The pattern of durations and stresses in music, created by the arrangement of notes and rests in time. Rhythm works with melody and harmony as a fundamental element of music.",,,,
Rubato,rhythm_and_meter,"Flexible tempo in musical performance, involving slight speeding up and slowing down for expressive purposes while maintaining the overall tempo.",,,,
Swing,rhythm_and_meter,"A rhythmic style where eighth notes are performed with unequal durations, typically in a long-short pattern, characteristic of jazz and swing music.",,,,
Syncopation,rhythm_and_meter,"The displacement of expected rhythmic accents, creating emphasis on weak beats or off-beats, adding rhythmic interest and complexity to music.",,,,
Tempo,rhythm_and_meter,"The speed of music, measured in beats per minute (BPM) or indicated by Italian terms (Allegro, Andante, etc.). Fundamental to musical character and expression.",,,,
Ternary,rhythm_and_meter,"A musical form with three sections (ABA), where the first section returns after a contrasting middle section, or a rhythm based on three-beat groupings.",,,,
Time,rhythm_and_meter,"The duration aspect of music, encompassing rhythm, meter, and tempo. The organization of musical events in temporal sequence.",,,,
Time Signature,rhythm_and_meter,"A notational symbol (e.g., 4/4, 3/4) indicating the meter of music, with the top number showing beats per measure and the bottom number indicating the note value that gets one beat.",,,,
Vivace,rhythm_and_meter,"A lively, fast tempo marking, typically around 132-140 beats per minute, indicating energetic, spirited musical performance.",,,,
AABA Form,song_forms,"A 32-bar song form with two A sections, a contrasting B section (bridge), and a return to A. Each section typically 8 bars. Common in American popular music and jazz standards.",,,,
Binary Form,song_forms,"Two-part form (AB) where each section may repeat. Common in Baroque dance movements. First section modulates away from tonic, second returns to tonic.",,,,
FTA,song_forms,"First Tonal Area - Laitz method terminology for the opening thematic section in sonata form, establishing the primary key and thematic material.",,,,
Rondo Form,song_forms,Form where main theme (A) returns between contrasting episodes: ABACA or ABACABA. Provides unity through repetition while allowing for diverse contrasting material.,,,,
Sonata Form,song_forms,"Classical form with exposition (presenting themes in different keys), development (working out themes), and recapitulation (return of themes in home key). Often includes introduction and coda.",,,,
STA,song_forms,"Second Tonal Area - Laitz method terminology for the contrasting thematic section in sonata form exposition, typically in a related key.",,,,
Ternary Form,song_forms,Three-part form (ABA) where opening section returns after contrasting middle section. Provides balance and symmetry in musical structure.,,,,
Theme And Variations,song_forms,"Form presenting a theme followed by a series of variations that maintain the theme's essential structure while altering melody, harmony, rhythm, or texture.",,,,
Through Composed,song_forms,"Musical form with continuous development without large-scale repetition of sections. Each section presents new material, common in art songs and progressive music.",,,,
Twelve Bar Blues,song_forms,"A specific blues form using a 12-bar chord progression pattern, typically I-I-I-I-IV-IV-I-I-V-IV-I-I in major keys, fundamental to blues, rock, and jazz.",,,,
Verse Chorus Form,song_forms,"Popular song structure alternating between verses (storytelling sections with changing lyrics) and choruses (memorable repeated sections with the main hook). May include bridge, intro, and outro sections.",,,,
Delay,sound_design_and_fx,"An audio effect that records input and plays it back after a specified time, creating echo effects and spatial depth.",,,,
Filter,sound_design_and_fx,"An audio processor that selectively removes or emphasizes certain frequencies, shaping the timbre and character of sounds.",,,,
Pad,sound_design_and_fx,"A sustained, atmospheric sound texture often used as harmonic background, typically soft and evolving.",,,,
Pluck,sound_design_and_fx,"A synthesized sound that imitates plucked string instruments, characterized by a sharp attack and quick decay.",,,,
Reverb,sound_design_and_fx,"An audio effect that simulates the acoustic characteristics of different spaces, adding depth and ambience to sounds.",,,,
Timbre,sound_design_and_fx,The characteristic quality or color of a sound that distinguishes it from other sounds of the same pitch and volume.,,,,
Vibrato,sound_design_and_fx,"A musical effect consisting of regular, pulsating changes in pitch, adding warmth and expression to sustained notes.",,,,
Composite Layer,stratum2_concepts,"A complete arrangement layer containing multiple strata (bass line, interval, chord, chord extension, sequence, melody) within thin-slices, with independent MIDI routing and DAW timeline correlation.",,,,
Ghost Notes,stratum2_concepts,"Translucent vocal notes imported from Synthesizer V .svp files that appear as additional strata within thin-slices, showing lead vocals and background vocals (BGVs) integrated with harmonic arrangement.",,,,
Song Form Preset,stratum2_concepts,"Pre-configured terrain arrangements representing traditional song structures (AABA, verse-chorus, sonata form, etc.) that provide starting templates for composition rather than single cross-section defaults.",,,,
Cross-Section,stratum2_core,A 4-16 bar harmonic phrase container representing a complete musical thought,"Complete structural unit in the geological metaphor, containing multiple strata and potentially thin-slices.","Verse section, chorus section, 8-bar phrase","thin_slice,terrain,flow",Song section or harmonic phrase
Flow,stratum2_core,The continuous temporal current spanning the entire length of a cross-section (4-16 bars),"Unlike discrete beats, the flow is a continuous medium through which lines move and evolve, creating aesthetic shapes across time.",A flowing melodic line that moves smoothly through harmonic changes,"line,stratum_line,cross_section",Temporal continuity in musical composition
Line,stratum2_core,An isolated sequence of tones that has aesthetic shape as it travels through the flow,Lines exist within stratum lines and contribute to voice-leading and harmonic texture.,Soprano line moving C-D-E-F through a chord progression,"flow,stratum_line,voice_leading",Individual voice or melodic strand
Stratum Interval,stratum2_core,A stratum representing intervallic relationships and harmonic motion between other strata,"One of the two primary stratum types, focused on harmonic analysis and interval relationships.",Perfect fifth between bass and soprano strata,"stratum_line,intervals,harmony",Harmonic relationship container
Stratum Line,stratum2_core,A stratum containing melodic/harmonic lines - individual tonal sequences moving through the flow,"One of the two primary stratum types, focused on voice-leading and linear motion.","Bass line stratum, soprano melody stratum","stratum_interval,line,flow",Container for voice-leading analysis
Terrain,stratum2_core,The overall compositional surface holding all cross-sections,The arrangement of cross-sections and order of playback comprises the song form. The terrain IS the song form.,"ABABCB song form, verse-chorus-bridge structure","cross_section,song_form",Complete musical composition structure
Thin-Slice,stratum2_core,Depth layer within a cross-section showing expressive variation,Multiple arrangement possibilities coexist in the Z-axis. Can operate as composite layer variations or multi-timeline composite layers.,"Orchestration variations, arrangement alternatives","cross_section,vein,terrain",Arrangement variation or orchestration layer
Vein,stratum2_core,Compositional technique where a single tone is altered enharmonically across iterations,"Exploits human pattern prediction - once a harmonic pattern is established, small deviations create surprise and delight.",C natural becoming C# in repeated section,"thin_slice,cross_section,enharmonic",Enharmonic variation technique
Rocks Are Time,stratum2_philosophy,The conceptual foundation that geological formations represent temporal structures in music - composers can 'hold their song in their hand' by sculpting harmonic terrain rather than scrolling through linear timelines.,,,,
catharsis potential,tension_release_patterns,"The capacity of a musical passage to provide emotional release or purification, particularly through the resolution of built-up tension.",,,,
dramatic arc,tension_release_patterns,"The overall trajectory of emotional intensity in tension-release patterns, describing how tension builds and resolves over time.",,,,
emotional intensity rating,tension_release_patterns,"A measure of how strongly tension-release patterns affect listener emotions, from subtle to overwhelming.",,,,
emotional journey,tension_release_patterns,"The path of emotional development through tension-release patterns, describing the progression from initial state to resolution.",,,,
genre suitability,tension_release_patterns,The appropriateness or effectiveness of tension-release patterns within specific musical styles.,,,,
listener engagement,tension_release_patterns,The level of attention and emotional involvement that tension-release patterns can generate in audiences.,,,,
memory impact,tension_release_patterns,The lasting impression that tension-release patterns leave on listener recall and recognition.,,,,
pattern name,tension_release_patterns,"The specific identifier for different types of tension-release structures, such as arch, crescendo, or wave patterns.",,,,
peak intensity,tension_release_patterns,The maximum level of tension or emotional energy reached in tension-release patterns.,,,,
physiological response,tension_release_patterns,"The bodily reactions (heart rate, breathing, muscle tension) that tension-release patterns can trigger.",,,,
predictability factor,tension_release_patterns,The degree to which tension-release patterns follow expected or surprising developmental paths.,,,,
release type,tension_release_patterns,"The specific manner in which tension resolves, such as gradual, sudden, partial, or complete release.",,,,
relistening value,tension_release_patterns,The reward and interest that tension-release patterns provide upon repeated hearings.,,,,
resolution satisfaction,tension_release_patterns,The degree of fulfillment and pleasure derived from tension-release resolutions.,,,,
surprise element,tension_release_patterns,Unexpected developments or deviations in tension-release patterns that create interest and engagement.,,,,
tension curve,tension_release_patterns,The graphic representation of how tension builds and releases over time in musical patterns.,,,,
Cymatic Tuning,tuning,432Hz tuning system based on natural resonance frequencies,"Alternative to 440Hz equal temperament, potentially creating more natural harmonic resonance and beat frequencies.",A4 = 432Hz instead of 440Hz,"equal_temperament,beat_frequency,resonance",Alternative tuning for natural resonance
Contrary Motion,voice_leading,Two voices moving in opposite directions,"Fundamental counterpoint technique where voices move in opposite directions, creating independence and avoiding parallel motion. Strengthens harmonic progression.",Bass moves C to F while soprano moves G to D,"parallel_motion,oblique_motion,voice_independence",Key technique for maintaining voice independence and avoiding forbidden parallels
Inner Voices,voice_leading,Alto and tenor parts in four-part harmony,The middle voices in four-part writing (alto and tenor) that provide harmonic filling and support the outer voices while maintaining their own melodic integrity.,Alto and tenor voices between soprano and bass,"harmonic_filling,voice_independence,four_part_harmony",Essential voices for complete harmonic texture and voice leading
Parallel Motion,voice_leading,Two or more voices moving in the same direction by same interval,Voice leading technique where voices maintain constant intervallic relationship while moving together. Can create powerful effects but requires careful handling.,C-E moving to D-F# (parallel major thirds),"contrary_motion,voice_independence,parallel_fifths",Technique requiring careful application to avoid forbidden parallels
Resolution Vector,voice_leading,Directional tendency of an interval to move to a more stable harmonic state,"Core to Stratum2's voice-leading analysis, showing how intervals want to resolve.","Leading tone resolving up, dominant seventh resolving down","voice_leading,functional_harmony,tendency_tone",Harmonic tension and resolution patterns
Stepwise Motion,voice_leading,Movement by whole or half steps between adjacent notes,"The smoothest possible melodic motion, moving from one note to an immediately adjacent note in the scale. Fundamental to good voice leading practice.",C to D or C to B natural - no notes skipped,"conjunct_motion,voice_leading_efficiency,melodic_contour",Essential technique for smooth melodic lines and voice independence
Voice Crossing,voice_leading,When a lower voice moves above a higher voice,Counterpoint technique where the normal register relationship between voices is temporarily reversed. Can create interesting effects but requires careful handling.,"Alto moves above soprano, or tenor above alto","voice_independence,counterpoint,register_relationship",Advanced voice leading technique requiring careful musical justification
Voice Exchange,voice_leading,Two voices trading notes or positions,"Sophisticated voice leading technique where two voices literally exchange their notes or harmonic positions, creating elegant melodic interaction.",Soprano C to G while alto G to C,"voice_independence,counterpoint,melodic_exchange",Elegant technique for creating sophisticated voice interaction
Voice Leading Efficiency,voice_leading,Minimization of voice movement between chords,Principle of smooth voice leading where individual voices move the shortest possible distance between harmonies. Fundamental to counterpoint and harmonic progression.,C to Am: C-E-G to C-E-A (only one note moves),"common_tone,stepwise_motion,smooth_voice_leading",Core principle for creating flowing harmonic progressions
Polychord,voicing_advanced,Combination of two or more distinct chords sounded simultaneously,Complex harmonic structure where multiple triadic or other chord structures are layered. Creates rich harmonic color and can suggest multiple tonal centers.,C major over F# major: upper structure independence,"upper_structure,polytonality,extended_harmony",Advanced harmonic technique for sophisticated color and complexity
Close Position,voicing_basic,Arrangement where chord tones are within an octave,"The most compact form of chord voicing, with all notes fitting within approximately one octave span. Creates dense harmonic texture and strong fundamental resonance.",C major triad: C-E-G all within one octave,"open_position,root_position,inversion",Fundamental voicing technique for establishing harmonic clarity
Open Position,voicing_basic,Arrangement where chord tones span more than an octave,"Voicing technique that distributes chord tones across multiple octaves, creating spacious texture and enhanced register definition. Allows for better voice independence.",C major triad: C3-G3-E4 spanning over an octave,"close_position,spacing,register",Essential for orchestral writing and voice leading clarity
Cluster Voicing,voicing_contemporary,Dense chromatic grouping of adjacent notes,"Modern harmonic technique using tightly packed chromatic intervals to create dissonant, coloristic effects. Common in 20th-century classical and jazz.",C-C#-D-D#-E played simultaneously,"chromatic_harmony,dissonance,contemporary_classical",Modern technique for creating harmonic density and atmospheric effects
Hybrid Voicing,voicing_contemporary,Combination of different voicing techniques,Advanced approach combining multiple voicing strategies within a single chord to achieve complex harmonic color and unique sonic characteristics.,Close position bottom with open position top,"mixed_technique,advanced_voicing,harmonic_complexity",Sophisticated technique for nuanced harmonic expression
Microtonal Voicing,voicing_contemporary,Harmony using intervals smaller than semitones,Advanced harmonic technique employing microtonal intervals to create new harmonic colors and relationships not available in traditional twelve-tone equal temperament.,"Quartertone harmonies, just intonation chords","microtonal_harmony,just_intonation,xenharmonic",Experimental technique for exploring new harmonic territories
Spread Voicing,voicing_contemporary,Wide distribution of chord tones across large range,"Technique of spacing chord tones across a very wide range to create transparent, open texture. Often used in contemporary classical and film music.",C major with notes spanning 4+ octaves,"wide_spacing,orchestral_voicing,transparency","Contemporary technique for creating spacious, atmospheric harmonies"
Algorithmic Voicing,voicing_electronic,Computer-generated voicing based on programmed rules,"Modern composition technique where voicing decisions are made by computer algorithms based on compositional rules, voice-leading principles, or machine learning.",AI-generated four-part harmony following traditional rules,"computer_music,artificial_intelligence,automated_composition",Contemporary tool for exploring systematic approaches to harmony
Laptop Orchestra Voicing,voicing_electronic,Electronic ensemble voicing techniques for distributed performance,"Contemporary approach to voicing designed for electronic ensembles where each performer controls multiple voices through technology, requiring new distribution strategies.",Each laptop controls specific frequency ranges or harmonic layers,"electronic_music,distributed_performance,contemporary_ensemble",Emerging technique for new forms of electronic ensemble performance
Drop 2 Voicing,voicing_jazz,Voicing where second highest note is dropped an octave,Jazz guitar and piano voicing technique that takes a close position chord and moves the second-from-top voice down an octave. Creates balanced spread with clear bass line.,Cmaj7 close: C-E-G-B becomes C-G-E-B (drop 2),"drop_3,close_position,jazz_harmony",Standard jazz comping technique for clear harmonic definition
Drop 3 Voicing,voicing_jazz,Voicing where third highest note is dropped an octave,Advanced jazz voicing that drops the third-from-top voice down an octave. Often used in guitar arrangements and creates distinctive intervallic relationships.,Cmaj7 close: C-E-G-B becomes C-B-E-G (drop 3),"drop_2,close_position,guitar_voicing",Specialized technique for unique harmonic color and voice distribution
Rootless Voicing,voicing_jazz,Chord voicing that omits the root note,"Jazz piano technique where the chord is voiced without its root, typically because the bass player provides it. Allows for richer upper structure harmony.",G7: B-F-A-D (omitting G root),"upper_structure,bass_line,jazz_comping",Standard jazz technique for piano comping and harmonic sophistication
Shell Voicing,voicing_jazz,Minimal chord voicing using only essential notes,"Jazz technique using only the most harmonically essential notes of a chord, typically root, third, and seventh. Provides harmonic function with minimal notes.","Cmaj7 shell: C-E-B (root, third, seventh only)","essential_notes,minimal_voicing,harmonic_function",Efficient technique for clear harmonic communication with economy
So What Voicing,voicing_jazz,Specific quartal voicing popularized by Bill Evans,"Famous jazz piano voicing using stacked fourths, named after the Miles Davis tune 'So What.' Creates modal, ambiguous harmony characteristic of modal jazz.",D-G-C-F-Bb: five notes in fourths for Dm11,"quartal_voicing,modal_jazz,bill_evans",Iconic voicing representing the sound of modal jazz harmony
Upper Structure,voicing_jazz,Triad built on upper extensions of a chord,"Jazz harmony technique where a simple triad is placed on chord extensions (9th, 11th, 13th) to create complex sounds with simple fingerings.","Dm/G7 = D-F-A over G7 (9,11,13 of G7)","polychord,extensions,slash_chord",Efficient way to access complex jazz harmonies with simple shapes
Quartal Voicing,voicing_modern,Chord built from stacked perfect fourths,Modern harmonic technique using perfect fourths as the primary intervallic building block instead of thirds. Creates ambiguous tonality and contemporary sound.,C-F-Bb-Eb built entirely from perfect fourths,"quintal_voicing,modal_harmony,modern_harmony",Contemporary classical and jazz technique for tonal ambiguity
Quintal Voicing,voicing_modern,Chord built from stacked perfect fifths,"Advanced harmonic technique using perfect fifths as structural intervals. Creates hollow, open sound with strong overtone relationships.",C-G-D-A built from stacked perfect fifths,"quartal_voicing,power_chord,overtone_series",Modern technique emphasizing natural harmonic series relationships
Doubling Technique,voicing_orchestral,Reinforcing chord tones by repetition in different octaves,Orchestration practice of strengthening specific chord tones by playing them simultaneously in multiple octaves or with different instruments.,Doubling the root in bass and soprano for stability,"reinforcement,harmonic_strength,orchestration",Key technique for emphasizing important harmonic elements
Register Transfer,voicing_orchestral,Moving a voice to a different octave or register,"Orchestration technique where a melodic line or harmonic voice is moved to a different register to change timbre, balance, or create new combinations.",Moving melody from violin to cello register,"octave_displacement,register,orchestration",Essential orchestral technique for color and balance changes
Spacing Technique,voicing_orchestral,Method of distributing chord tones across registers,"Systematic approach to arranging chord tones across different octaves and instruments to achieve desired texture, balance, and harmonic clarity.","Wide spacing for transparency, close for warmth","voicing_distribution,register,harmonic_balance",Fundamental skill for effective harmonic arrangement
clarity rating,voicing_register_emotions,A measure of how clearly individual voices or chord tones can be distinguished within a particular voicing or register.,,,,
comfort level,voicing_register_emotions,The degree of psychological ease or familiarity that listeners experience with certain chord voicings or harmonic progressions.,,,,
composite emotional impact,voicing_register_emotions,"The overall emotional effect created by the combination of all elements in a voicing, including register, spacing, and chord quality.",,,,
drama potential,voicing_register_emotions,"The capacity of certain voicings to create theatrical, intense, or emotionally charged musical moments.",,,,
emotional focus,voicing_register_emotions,The primary emotional character or mood that a particular voicing emphasizes or brings to attention.,,,,
perceived distance,voicing_register_emotions,The psychological sense of closeness or remoteness created by different voicing registers.,,,,
register emotional weight,voicing_register_emotions,The emotional significance and impact associated with different pitch ranges.,,,,
sophistication impression,voicing_register_emotions,The perceived level of refinement and complexity that voicing registers convey to listeners.,,,,
spatial feeling,voicing_register_emotions,The sense of three-dimensional space and positioning that voicing registers can create.,,,,
texture quality,voicing_register_emotions,The overall sonic character and density created by voicing registers and their spacing.,,,,
voicing type,voicing_register_emotions,"The specific category of chord arrangement, such as close, open, drop-2, or rootless voicings.",,,,
warmth perception,voicing_register_emotions,The psychological sense of comfort and intimacy that certain voicing registers provide.,,,,
