lower_note,upper_note,interval_name,semitones,frequency_ratio,cents,harmonic_series_position,consonance_level,interval_class,compound_interval,enharmonic_spellings,beat_frequency_hz_440,beat_frequency_hz_432,lower_freq_hz_440,upper_freq_hz_440,lower_freq_hz_432,upper_freq_hz_432,resolution_vectors,functional_tendencies,modern_applications,constructive_interference_ratio,destructive_interference_ratio,interference_pattern_type,phase_relationship_degrees,roughness_index
D3,B4,major thirteenth,21,5:3,2100,none,mild dissonant,M13,compound,major sixth + octave,347.05,340.74,146.83,493.88,144.16036363636400,484.90036363636400,expand_to_octave|contract_to_fifth|leading_tone_preparation|compound_spacing|register_displacement,submediant_function|deceptive_cadence|extended_harmony,lydian_extension|maj13_color|neapolitan_preparation|jazz_extensions|contemporary_color,0.0683,0.5769,separate_tones,18.0,0.1
D3,C5,minor fourteenth,22,16:9,2200,none,dissonant,m14,compound,minor seventh + octave,376.42,369.58,146.83,523.25,144.16036363636400,513.7363636363640,resolution_down_to_sixth|resolution_up_to_octave|suspension_character|compound_spacing|register_displacement,dominant_seventh_dissonance|modal_mixture|extended_harmony,modal_frame|min7_chord_color|blues_harmony_foundation|jazz_extensions|contemporary_color,0.0601,0.6099,separate_tones,151.2,0.1
D3,D5,perfect fifteenth,24,4:1,2400,2nd harmonic,consonant,P15,compound,double octave,440.5,432.49,146.83,587.33,144.16036363636400,576.6512727272730,stable|register_doubling|harmonic_reinforcement|compound_spacing|register_displacement,tonic_reinforcement|structural_support|extended_harmony,octave_displacement|register_transfer|harmonic_series_anchor|jazz_extensions|contemporary_color,0.0476,0.6667,separate_tones,180.0,0.1
D#3/Eb3,E3,minor second,1,16:15,100,none,dissonant,m2,simple,minor second/augmented unison,9.25,9.08,155.56,164.81,152.73163636363600,161.81345454545500,up_half_step|down_half_step|chromatic_voice_exchange,leading_tone_resolution|neighbor_tone,cluster_harmony|semitone_displacement|chromatic_saturation,0.7608,0.0305,moderate_beating,90.0,0.3083
D#3/Eb3,F3,major second,2,9:8,200,9th harmonic,mild dissonant,M2,simple,major second,19.05,18.7,155.56,174.61,152.73163636363600,171.43527272727300,step_resolution_both_directions|leap_to_consonance,passing_tone|suspension_resolution,quartal_harmony|secunda_harmony|tone_cluster_component,0.9752,0.0025,fast_beating,18.0,0.635
D#3/Eb3,G3,major third,4,5:4,400,5th harmonic,consonant,M3,simple,major third/diminished fourth,40.44,39.7,155.56,196.0,152.73163636363600,192.43636363636400,stable|expand_to_fifth|contract_to_unison,dominant_chord_member|resolution_goal,lydian_characteristic|maj7#11_color|bitonality_anchor,0.9094,0.0099,consonant_roughness,158.4,0.1434
D#3/Eb3,A3,tritone,6,45:32,600,none,dissonant,TT,simple,augmented fourth/diminished fifth,64.44,63.27,155.56,220.0,152.73163636363600,216.0,resolution_to_sixth|resolution_to_third|chromatic_slide|stable_in_symmetric_contexts,dominant_seventh_tension|diminished_chord_core,symmetric_scale_anchor|french_sixth_color|whole_tone_element,0.5528,0.0749,roughness,158.4,0.8556
D#3/Eb3,B3,minor sixth,8,8:5,800,none,mild dissonant,m6,simple,minor sixth/augmented fifth,91.38,89.72,155.56,246.94,152.73163636363600,242.45018181818200,expand_to_octave|contract_to_fifth|chromatic_approach_to_fifth,submediant_approach|deceptive_resolution,dorian_characteristic|add6_color|chromatic_mediant,0.5335,0.0804,roughness,136.8,0.5862
D#3/Eb3,C4,major sixth,9,5:3,900,none,mild dissonant,M6,simple,major sixth,106.07,104.14,155.56,261.63,152.73163636363600,256.8730909090910,expand_to_octave|contract_to_fifth|leading_tone_preparation,submediant_function|deceptive_cadence,lydian_extension|maj13_color|neapolitan_preparation,0.3548,0.1539,separate_tones,25.2,0.4393
D#3/Eb3,D4,major seventh,11,15:8,1100,15th harmonic,dissonant,M7,simple,major seventh/diminished octave,138.1,135.59,155.56,293.66,152.73163636363600,288.3207272727270,resolution_up_to_octave|chromatic_approach|half_step_tension,leading_tone_function|dominant_preparation,maj7_chord_color|chromatic_harmony|impressionist_dissonance,0.4712,0.1009,separate_tones,36.0,0.119
D#3/Eb3,E4,minor ninth,13,32:15,1300,none,dissonant,m9,compound,minor second + octave,174.07,170.91,155.56,329.63,152.73163636363600,323.6367272727270,up_half_step|down_half_step|chromatic_voice_exchange|compound_spacing|register_displacement,leading_tone_resolution|neighbor_tone|extended_harmony,cluster_harmony|semitone_displacement|chromatic_saturation|jazz_extensions|contemporary_color,0.4566,0.1063,separate_tones,25.2,0.1
D#3/Eb3,F4,major ninth,14,9:4,1400,9th harmonic,mild dissonant,M9,compound,major second + octave,193.67,190.15,155.56,349.23,152.73163636363600,342.88036363636400,step_resolution_both_directions|leap_to_consonance|compound_spacing|register_displacement,passing_tone|suspension_resolution|extended_harmony,quartal_harmony|secunda_harmony|tone_cluster_component|jazz_extensions|contemporary_color,0.2899,0.1968,separate_tones,241.2,0.1
D#3/Eb3,G4,major tenth,16,5:2,1600,5th harmonic,consonant,M10,compound,major third + octave,236.44,232.14,155.56,392.0,152.73163636363600,384.8727272727270,stable|expand_to_fifth|contract_to_unison|compound_spacing|register_displacement,dominant_chord_member|resolution_goal|extended_harmony,lydian_characteristic|maj7#11_color|bitonality_anchor|jazz_extensions|contemporary_color,0.1613,0.3421,separate_tones,158.4,0.1
D#3/Eb3,A4,augmented eleventh,18,45:16,1800,none,dissonant,A11,compound,tritone + octave,284.44,279.27,155.56,440.0,152.73163636363600,432.0,resolution_to_sixth|resolution_to_third|chromatic_slide|stable_in_symmetric_contexts|compound_spacing|register_displacement,dominant_seventh_tension|diminished_chord_core|extended_harmony,symmetric_scale_anchor|french_sixth_color|whole_tone_element|jazz_extensions|contemporary_color,0.1077,0.4531,separate_tones,158.4,0.1
D#3/Eb3,B4,minor thirteenth,20,8:5,2000,none,mild dissonant,m13,compound,minor sixth + octave,338.32,332.17,155.56,493.88,152.73163636363600,484.90036363636400,expand_to_octave|contract_to_fifth|chromatic_approach_to_fifth|compound_spacing|register_displacement,submediant_approach|deceptive_resolution|extended_harmony,dorian_characteristic|add6_color|chromatic_mediant|jazz_extensions|contemporary_color,0.0784,0.5402,separate_tones,115.2,0.1
D#3/Eb3,C5,major thirteenth,21,5:3,2100,none,mild dissonant,M13,compound,major sixth + octave,367.69,361.0,155.56,523.25,152.73163636363600,513.7363636363640,expand_to_octave|contract_to_fifth|leading_tone_preparation|compound_spacing|register_displacement,submediant_function|deceptive_cadence|extended_harmony,lydian_extension|maj13_color|neapolitan_preparation|jazz_extensions|contemporary_color,0.0683,0.5769,separate_tones,248.4,0.1
D#3/Eb3,D5,major fourteenth,23,15:4,2300,15th harmonic,dissonant,M14,compound,major seventh + octave,431.77,423.92,155.56,587.33,152.73163636363600,576.6512727272730,resolution_up_to_octave|chromatic_approach|half_step_tension|compound_spacing|register_displacement,leading_tone_function|dominant_preparation|extended_harmony,maj7_chord_color|chromatic_harmony|impressionist_dissonance|jazz_extensions|contemporary_color,0.0533,0.6397,separate_tones,277.2,0.1
E3,F3,minor second,1,16:15,100,none,dissonant,m2,simple,minor second/augmented unison,9.8,9.62,164.81,174.61,161.81345454545500,171.43527272727300,up_half_step|down_half_step|chromatic_voice_exchange,leading_tone_resolution|neighbor_tone,cluster_harmony|semitone_displacement|chromatic_saturation,0.7608,0.0305,moderate_beating,288.0,0.3267
E3,G3,minor third,3,6:5,300,none,consonant,m3,simple,minor third,31.19,30.62,164.81,196.0,161.81345454545500,192.43636363636400,stable|expand_to_fifth|contract_to_unison,tonic_triad_member|subdominant_approach,modal_color_tone|add9_chord_component|polychord_element,0.9029,0.0106,roughness,68.4,0.9405
E3,A3,perfect fourth,5,4:3,500,4th harmonic,consonant,P4,simple,perfect fourth,55.19,54.19,164.81,220.0,161.81345454545500,216.0,stable|suspension_down_to_third|quartal_voice_leading,suspension_preparation|plagal_motion,quartal_harmony_foundation|sus4_color|modal_frame,0.9849,0.0015,consonant_roughness,68.4,0.2844
E3,B3,perfect fifth,7,3:2,700,3rd harmonic,consonant,P5,simple,perfect fifth,82.13,80.64,164.81,246.94,161.81345454545500,242.45018181818200,stable|power_interval|open_voicing_foundation,tonic_stability|dominant_generator,quartal_extension|power_chord_core|modal_drone,0.9836,0.0017,consonant_roughness,46.8,0.2036
E3,C4,minor sixth,8,8:5,800,none,mild dissonant,m6,simple,minor sixth/augmented fifth,96.82,95.06,164.81,261.63,161.81345454545500,256.8730909090910,expand_to_octave|contract_to_fifth|chromatic_approach_to_fifth,submediant_approach|deceptive_resolution,dorian_characteristic|add6_color|chromatic_mediant,0.5334,0.0804,roughness,295.2,0.5318
E3,D4,minor seventh,10,16:9,1000,none,dissonant,m7,simple,minor seventh,128.85,126.51,164.81,293.66,161.81345454545500,288.3207272727270,resolution_down_to_sixth|resolution_up_to_octave|suspension_character,dominant_seventh_dissonance|modal_mixture,modal_frame|min7_chord_color|blues_harmony_foundation,0.3143,0.1791,separate_tones,306.0,0.2115
E3,E4,perfect octave,12,2:1,1200,2nd harmonic,consonant,P8,simple,perfect octave,164.82,161.82,164.81,329.63,161.81345454545500,323.6367272727270,stable|register_doubling|harmonic_reinforcement,tonic_reinforcement|structural_support,octave_displacement|register_transfer|harmonic_series_anchor,0.9994,0.0001,consonant_separate_tones,295.2,0.03
E3,F4,minor ninth,13,32:15,1300,none,dissonant,m9,compound,minor second + octave,184.42,181.07,164.81,349.23,161.81345454545500,342.88036363636400,up_half_step|down_half_step|chromatic_voice_exchange|compound_spacing|register_displacement,leading_tone_resolution|neighbor_tone|extended_harmony,cluster_harmony|semitone_displacement|chromatic_saturation|jazz_extensions|contemporary_color,0.4567,0.1063,separate_tones,151.2,0.1
E3,G4,minor tenth,15,12:5,1500,none,consonant,m10,compound,minor third + octave,227.19,223.06,164.81,392.0,161.81345454545500,384.8727272727270,stable|expand_to_fifth|contract_to_unison|compound_spacing|register_displacement,tonic_triad_member|subdominant_approach|extended_harmony,modal_color_tone|add9_chord_component|polychord_element|jazz_extensions|contemporary_color,0.209,0.2746,separate_tones,68.4,0.1
E3,A4,perfect eleventh,17,8:3,1700,4th harmonic,consonant,P11,compound,perfect fourth + octave,275.19,270.19,164.81,440.0,161.81345454545500,432.0,stable|suspension_down_to_third|quartal_voice_leading|compound_spacing|register_displacement,suspension_preparation|plagal_motion|extended_harmony,quartal_harmony_foundation|sus4_color|modal_frame|jazz_extensions|contemporary_color,0.1299,0.4011,separate_tones,68.4,0.1
E3,B4,perfect twelfth,19,3:1,1900,3rd harmonic,consonant,P12,compound,perfect fifth + octave,329.07,323.09,164.81,493.88,161.81345454545500,484.90036363636400,stable|power_interval|open_voicing_foundation|compound_spacing|register_displacement,tonic_stability|dominant_generator|extended_harmony,quartal_extension|power_chord_core|modal_drone|jazz_extensions|contemporary_color,0.0912,0.4992,separate_tones,25.2,0.1
E3,C5,minor thirteenth,20,8:5,2000,none,mild dissonant,m13,compound,minor sixth + octave,358.44,351.92,164.81,523.25,161.81345454545500,513.7363636363640,expand_to_octave|contract_to_fifth|chromatic_approach_to_fifth|compound_spacing|register_displacement,submediant_approach|deceptive_resolution|extended_harmony,dorian_characteristic|add6_color|chromatic_mediant|jazz_extensions|contemporary_color,0.0784,0.5402,separate_tones,158.4,0.1
E3,D5,minor fourteenth,22,16:9,2200,none,dissonant,m14,compound,minor seventh + octave,422.52,414.84,164.81,587.33,161.81345454545500,576.6512727272730,resolution_down_to_sixth|resolution_up_to_octave|suspension_character|compound_spacing|register_displacement,dominant_seventh_dissonance|modal_mixture|extended_harmony,modal_frame|min7_chord_color|blues_harmony_foundation|jazz_extensions|contemporary_color,0.0601,0.6099,separate_tones,187.2,0.1
E3,E5,perfect fifteenth,24,4:1,2400,2nd harmonic,consonant,P15,compound,double octave,494.44,485.45,164.81,659.25,161.81345454545500,647.2636363636360,stable|register_doubling|harmonic_reinforcement|compound_spacing|register_displacement,tonic_reinforcement|structural_support|extended_harmony,octave_displacement|register_transfer|harmonic_series_anchor|jazz_extensions|contemporary_color,0.0476,0.6667,separate_tones,158.4,0.1
F3,G3,major second,2,9:8,200,9th harmonic,mild dissonant,M2,simple,major second,21.39,21.0,174.61,196.0,171.43527272727300,192.43636363636400,step_resolution_both_directions|leap_to_consonance,passing_tone|suspension_resolution,quartal_harmony|secunda_harmony|tone_cluster_component,0.9756,0.0025,fast_beating,140.4,0.713
F3,A3,major third,4,5:4,400,5th harmonic,consonant,M3,simple,major third/diminished fourth,45.39,44.56,174.61,220.0,171.43527272727300,216.0,stable|expand_to_fifth|contract_to_unison,dominant_chord_member|resolution_goal,lydian_characteristic|maj7#11_color|bitonality_anchor,0.9095,0.0099,consonant_roughness,140.4,0.0692
F3,B3,tritone,6,45:32,600,none,dissonant,TT,simple,augmented fourth/diminished fifth,72.33,71.01,174.61,246.94,171.43527272727300,242.45018181818200,resolution_to_sixth|resolution_to_third|chromatic_slide|stable_in_symmetric_contexts,dominant_seventh_tension|diminished_chord_core,symmetric_scale_anchor|french_sixth_color|whole_tone_element,0.5528,0.0748,roughness,118.8,0.7767
F3,C4,perfect fifth,7,3:2,700,3rd harmonic,consonant,P5,simple,perfect fifth,87.02,85.44,174.61,261.63,171.43527272727300,256.8730909090910,stable|power_interval|open_voicing_foundation,tonic_stability|dominant_generator,quartal_extension|power_chord_core|modal_drone,0.9839,0.0016,consonant_roughness,7.2,0.1889
F3,D4,major sixth,9,5:3,900,none,mild dissonant,M6,simple,major sixth,119.05,116.89,174.61,293.66,171.43527272727300,288.3207272727270,expand_to_octave|contract_to_fifth|leading_tone_preparation,submediant_function|deceptive_cadence,lydian_extension|maj13_color|neapolitan_preparation,0.3549,0.1538,separate_tones,18.0,0.3095
F3,E4,major seventh,11,15:8,1100,15th harmonic,dissonant,M7,simple,major seventh/diminished octave,155.02,152.2,174.61,329.63,171.43527272727300,323.6367272727270,resolution_up_to_octave|chromatic_approach|half_step_tension,leading_tone_function|dominant_preparation,maj7_chord_color|chromatic_harmony|impressionist_dissonance,0.4713,0.1009,separate_tones,7.2,0.1
F3,F4,perfect octave,12,2:1,1200,2nd harmonic,consonant,P8,simple,perfect octave,174.62,171.45,174.61,349.23,171.43527272727300,342.88036363636400,stable|register_doubling|harmonic_reinforcement,tonic_reinforcement|structural_support,octave_displacement|register_transfer|harmonic_series_anchor,0.9994,0.0001,consonant_separate_tones,223.2,0.03
F3,G4,major ninth,14,9:4,1400,9th harmonic,mild dissonant,M9,compound,major second + octave,217.39,213.44,174.61,392.0,171.43527272727300,384.8727272727270,step_resolution_both_directions|leap_to_consonance|compound_spacing|register_displacement,passing_tone|suspension_resolution|extended_harmony,quartal_harmony|secunda_harmony|tone_cluster_component|jazz_extensions|contemporary_color,0.2899,0.1968,separate_tones,140.4,0.1
F3,A4,major tenth,16,5:2,1600,5th harmonic,consonant,M10,compound,major third + octave,265.39,260.56,174.61,440.0,171.43527272727300,432.0,stable|expand_to_fifth|contract_to_unison|compound_spacing|register_displacement,dominant_chord_member|resolution_goal|extended_harmony,lydian_characteristic|maj7#11_color|bitonality_anchor|jazz_extensions|contemporary_color,0.1613,0.3421,separate_tones,140.4,0.1
F3,B4,augmented eleventh,18,45:16,1800,none,dissonant,A11,compound,tritone + octave,319.27,313.47,174.61,493.88,171.43527272727300,484.90036363636400,resolution_to_sixth|resolution_to_third|chromatic_slide|stable_in_symmetric_contexts|compound_spacing|register_displacement,dominant_seventh_tension|diminished_chord_core|extended_harmony,symmetric_scale_anchor|french_sixth_color|whole_tone_element|jazz_extensions|contemporary_color,0.1077,0.4531,separate_tones,97.2,0.1
F3,C5,perfect twelfth,19,3:1,1900,3rd harmonic,consonant,P12,compound,perfect fifth + octave,348.64,342.3,174.61,523.25,171.43527272727300,513.7363636363640,stable|power_interval|open_voicing_foundation|compound_spacing|register_displacement,tonic_stability|dominant_generator|extended_harmony,quartal_extension|power_chord_core|modal_drone|jazz_extensions|contemporary_color,0.0912,0.4992,separate_tones,230.4,0.1
F3,D5,major thirteenth,21,5:3,2100,none,mild dissonant,M13,compound,major sixth + octave,412.72,405.22,174.61,587.33,171.43527272727300,576.6512727272730,expand_to_octave|contract_to_fifth|leading_tone_preparation|compound_spacing|register_displacement,submediant_function|deceptive_cadence|extended_harmony,lydian_extension|maj13_color|neapolitan_preparation|jazz_extensions|contemporary_color,0.0683,0.5769,separate_tones,259.2,0.1
F3,E5,major fourteenth,23,15:4,2300,15th harmonic,dissonant,M14,compound,major seventh + octave,484.64,475.83,174.61,659.25,171.43527272727300,647.2636363636360,resolution_up_to_octave|chromatic_approach|half_step_tension|compound_spacing|register_displacement,leading_tone_function|dominant_preparation|extended_harmony,maj7_chord_color|chromatic_harmony|impressionist_dissonance|jazz_extensions|contemporary_color,0.0533,0.6397,separate_tones,230.4,0.1
F3,F5,perfect fifteenth,24,4:1,2400,2nd harmonic,consonant,P15,compound,double octave,523.85,514.33,174.61,698.46,171.43527272727300,685.7607272727270,stable|register_doubling|harmonic_reinforcement|compound_spacing|register_displacement,tonic_reinforcement|structural_support|extended_harmony,octave_displacement|register_transfer|harmonic_series_anchor|jazz_extensions|contemporary_color,0.0476,0.6667,separate_tones,306.0,0.1
F#3/Gb3,G3,minor second,1,16:15,100,none,dissonant,m2,simple,minor second/augmented unison,11.0,10.8,185.0,196.0,181.63636363636400,192.43636363636400,up_half_step|down_half_step|chromatic_voice_exchange,leading_tone_resolution|neighbor_tone,cluster_harmony|semitone_displacement|chromatic_saturation,0.7607,0.0305,fast_beating,0.0,0.3667
F#3/Gb3,A3,minor third,3,6:5,300,none,consonant,m3,simple,minor third,35.0,34.36,185.0,220.0,181.63636363636400,216.0,stable|expand_to_fifth|contract_to_unison,tonic_triad_member|subdominant_approach,modal_color_tone|add9_chord_component|polychord_element,0.9024,0.0107,roughness,0.0,0.75
F#3/Gb3,B3,perfect fourth,5,4:3,500,4th harmonic,consonant,P4,simple,perfect fourth,61.94,60.81,185.0,246.94,181.63636363636400,242.45018181818200,stable|suspension_down_to_third|quartal_voice_leading,suspension_preparation|plagal_motion,quartal_harmony_foundation|sus4_color|modal_frame,0.9854,0.0015,consonant_roughness,338.4,0.2642
F#3/Gb3,C4,tritone,6,45:32,600,none,dissonant,TT,simple,augmented fourth/diminished fifth,76.63,75.24,185.0,261.63,181.63636363636400,256.8730909090910,resolution_to_sixth|resolution_to_third|chromatic_slide|stable_in_symmetric_contexts,dominant_seventh_tension|diminished_chord_core,symmetric_scale_anchor|french_sixth_color|whole_tone_element,0.5528,0.0748,roughness,226.8,0.7337
F#3/Gb3,D4,minor sixth,8,8:5,800,none,mild dissonant,m6,simple,minor sixth/augmented fifth,108.66,106.68,185.0,293.66,181.63636363636400,288.3207272727270,expand_to_octave|contract_to_fifth|chromatic_approach_to_fifth,submediant_approach|deceptive_resolution,dorian_characteristic|add6_color|chromatic_mediant,0.5338,0.0803,separate_tones,237.6,0.4134
F#3/Gb3,E4,minor seventh,10,16:9,1000,none,dissonant,m7,simple,minor seventh,144.63,142.0,185.0,329.63,181.63636363636400,323.6367272727270,resolution_down_to_sixth|resolution_up_to_octave|suspension_character,dominant_seventh_dissonance|modal_mixture,modal_frame|min7_chord_color|blues_harmony_foundation,0.3143,0.1791,separate_tones,226.8,0.1
F#3/Gb3,F4,major seventh,11,15:8,1100,15th harmonic,dissonant,M7,simple,major seventh/diminished octave,164.23,161.24,185.0,349.23,181.63636363636400,342.88036363636400,resolution_up_to_octave|chromatic_approach|half_step_tension,leading_tone_function|dominant_preparation,maj7_chord_color|chromatic_harmony|impressionist_dissonance,0.4711,0.1009,separate_tones,82.8,0.1
F#3/Gb3,G4,minor ninth,13,32:15,1300,none,dissonant,m9,compound,minor second + octave,207.0,203.24,185.0,392.0,181.63636363636400,384.8727272727270,up_half_step|down_half_step|chromatic_voice_exchange|compound_spacing|register_displacement,leading_tone_resolution|neighbor_tone|extended_harmony,cluster_harmony|semitone_displacement|chromatic_saturation|jazz_extensions|contemporary_color,0.4568,0.1063,separate_tones,0.0,0.1
F#3/Gb3,A4,minor tenth,15,12:5,1500,none,consonant,m10,compound,minor third + octave,255.0,250.36,185.0,440.0,181.63636363636400,432.0,stable|expand_to_fifth|contract_to_unison|compound_spacing|register_displacement,tonic_triad_member|subdominant_approach|extended_harmony,modal_color_tone|add9_chord_component|polychord_element|jazz_extensions|contemporary_color,0.209,0.2745,separate_tones,0.0,0.1
F#3/Gb3,B4,perfect eleventh,17,8:3,1700,4th harmonic,consonant,P11,compound,perfect fourth + octave,308.88,303.26,185.0,493.88,181.63636363636400,484.90036363636400,stable|suspension_down_to_third|quartal_voice_leading|compound_spacing|register_displacement,suspension_preparation|plagal_motion|extended_harmony,quartal_harmony_foundation|sus4_color|modal_frame|jazz_extensions|contemporary_color,0.1299,0.4011,separate_tones,316.8,0.1
F#3/Gb3,C5,augmented eleventh,18,45:16,1800,none,dissonant,A11,compound,tritone + octave,338.25,332.1,185.0,523.25,181.63636363636400,513.7363636363640,resolution_to_sixth|resolution_to_third|chromatic_slide|stable_in_symmetric_contexts|compound_spacing|register_displacement,dominant_seventh_tension|diminished_chord_core|extended_harmony,symmetric_scale_anchor|french_sixth_color|whole_tone_element|jazz_extensions|contemporary_color,0.1077,0.4531,separate_tones,90.0,0.1
F#3/Gb3,D5,minor thirteenth,20,8:5,2000,none,mild dissonant,m13,compound,minor sixth + octave,402.33,395.01,185.0,587.33,181.63636363636400,576.6512727272730,expand_to_octave|contract_to_fifth|chromatic_approach_to_fifth|compound_spacing|register_displacement,submediant_approach|deceptive_resolution|extended_harmony,dorian_characteristic|add6_color|chromatic_mediant|jazz_extensions|contemporary_color,0.0784,0.5402,separate_tones,118.8,0.1
F#3/Gb3,E5,minor fourteenth,22,16:9,2200,none,dissonant,m14,compound,minor seventh + octave,474.25,465.63,185.0,659.25,181.63636363636400,647.2636363636360,resolution_down_to_sixth|resolution_up_to_octave|suspension_character|compound_spacing|register_displacement,dominant_seventh_dissonance|modal_mixture|extended_harmony,modal_frame|min7_chord_color|blues_harmony_foundation|jazz_extensions|contemporary_color,0.0601,0.6099,separate_tones,90.0,0.1
F#3/Gb3,F5,major fourteenth,23,15:4,2300,15th harmonic,dissonant,M14,compound,major seventh + octave,513.46,504.12,185.0,698.46,181.63636363636400,685.7607272727270,resolution_up_to_octave|chromatic_approach|half_step_tension|compound_spacing|register_displacement,leading_tone_function|dominant_preparation|extended_harmony,maj7_chord_color|chromatic_harmony|impressionist_dissonance|jazz_extensions|contemporary_color,0.0533,0.6397,separate_tones,165.6,0.1
G3,A3,major second,2,9:8,200,9th harmonic,mild dissonant,M2,simple,major second,24.0,23.56,196.0,220.0,192.43636363636400,216.0,step_resolution_both_directions|leap_to_consonance,passing_tone|suspension_resolution,quartal_harmony|secunda_harmony|tone_cluster_component,0.9751,0.0025,fast_beating,0.0,0.8
G3,B3,major third,4,5:4,400,5th harmonic,consonant,M3,simple,major third/diminished fourth,50.94,50.01,196.0,246.94,192.43636363636400,242.45018181818200,stable|expand_to_fifth|contract_to_unison,dominant_chord_member|resolution_goal,lydian_characteristic|maj7#11_color|bitonality_anchor,0.9099,0.0098,consonant_roughness,338.4,0.2972
G3,C4,perfect fourth,5,4:3,500,4th harmonic,consonant,P4,simple,perfect fourth,65.63,64.44,196.0,261.63,192.43636363636400,256.8730909090910,stable|suspension_down_to_third|quartal_voice_leading,suspension_preparation|plagal_motion,quartal_harmony_foundation|sus4_color|modal_frame,0.9851,0.0015,consonant_roughness,226.8,0.2531
G3,D4,perfect fifth,7,3:2,700,3rd harmonic,consonant,P5,simple,perfect fifth,97.66,95.88,196.0,293.66,192.43636363636400,288.3207272727270,stable|power_interval|open_voicing_foundation,tonic_stability|dominant_generator,quartal_extension|power_chord_core|modal_drone,0.9829,0.0017,consonant_roughness,237.6,0.157
G3,E4,major sixth,9,5:3,900,none,mild dissonant,M6,simple,major sixth,133.63,131.2,196.0,329.63,192.43636363636400,323.6367272727270,expand_to_octave|contract_to_fifth|leading_tone_preparation,submediant_function|deceptive_cadence,lydian_extension|maj13_color|neapolitan_preparation,0.3549,0.1538,separate_tones,226.8,0.1637
G3,F4,minor seventh,10,16:9,1000,none,dissonant,m7,simple,minor seventh,153.23,150.44,196.0,349.23,192.43636363636400,342.88036363636400,resolution_down_to_sixth|resolution_up_to_octave|suspension_character,dominant_seventh_dissonance|modal_mixture,modal_frame|min7_chord_color|blues_harmony_foundation,0.3143,0.1791,separate_tones,82.8,0.1
G3,G4,perfect octave,12,2:1,1200,2nd harmonic,consonant,P8,simple,perfect octave,196.0,192.44,196.0,392.0,192.43636363636400,384.8727272727270,stable|register_doubling|harmonic_reinforcement,tonic_reinforcement|structural_support,octave_displacement|register_transfer|harmonic_series_anchor,1.0,0.0,consonant_separate_tones,0.0,0.03
G3,A4,major ninth,14,9:4,1400,9th harmonic,mild dissonant,M9,compound,major second + octave,244.0,239.56,196.0,440.0,192.43636363636400,432.0,step_resolution_both_directions|leap_to_consonance|compound_spacing|register_displacement,passing_tone|suspension_resolution|extended_harmony,quartal_harmony|secunda_harmony|tone_cluster_component|jazz_extensions|contemporary_color,0.2899,0.1967,separate_tones,0.0,0.1
G3,B4,major tenth,16,5:2,1600,5th harmonic,consonant,M10,compound,major third + octave,297.88,292.46,196.0,493.88,192.43636363636400,484.90036363636400,stable|expand_to_fifth|contract_to_unison|compound_spacing|register_displacement,dominant_chord_member|resolution_goal|extended_harmony,lydian_characteristic|maj7#11_color|bitonality_anchor|jazz_extensions|contemporary_color,0.1613,0.342,separate_tones,316.8,0.1
G3,C5,perfect eleventh,17,8:3,1700,4th harmonic,consonant,P11,compound,perfect fourth + octave,327.25,321.3,196.0,523.25,192.43636363636400,513.7363636363640,stable|suspension_down_to_third|quartal_voice_leading|compound_spacing|register_displacement,suspension_preparation|plagal_motion|extended_harmony,quartal_harmony_foundation|sus4_color|modal_frame|jazz_extensions|contemporary_color,0.1299,0.4011,separate_tones,90.0,0.1
G3,D5,perfect twelfth,19,3:1,1900,3rd harmonic,consonant,P12,compound,perfect fifth + octave,391.33,384.21,196.0,587.33,192.43636363636400,576.6512727272730,stable|power_interval|open_voicing_foundation|compound_spacing|register_displacement,tonic_stability|dominant_generator|extended_harmony,quartal_extension|power_chord_core|modal_drone|jazz_extensions|contemporary_color,0.0912,0.4991,separate_tones,118.8,0.1
G3,E5,major thirteenth,21,5:3,2100,none,mild dissonant,M13,compound,major sixth + octave,463.25,454.83,196.0,659.25,192.43636363636400,647.2636363636360,expand_to_octave|contract_to_fifth|leading_tone_preparation|compound_spacing|register_displacement,submediant_function|deceptive_cadence|extended_harmony,lydian_extension|maj13_color|neapolitan_preparation|jazz_extensions|contemporary_color,0.0683,0.5769,separate_tones,90.0,0.1
G3,F5,minor fourteenth,22,16:9,2200,none,dissonant,m14,compound,minor seventh + octave,502.46,493.32,196.0,698.46,192.43636363636400,685.7607272727270,resolution_down_to_sixth|resolution_up_to_octave|suspension_character|compound_spacing|register_displacement,dominant_seventh_dissonance|modal_mixture|extended_harmony,modal_frame|min7_chord_color|blues_harmony_foundation|jazz_extensions|contemporary_color,0.0601,0.6099,separate_tones,165.6,0.1
G3,G5,perfect fifteenth,24,4:1,2400,2nd harmonic,consonant,P15,compound,double octave,587.99,577.3,196.0,783.99,192.43636363636400,769.7356363636360,stable|register_doubling|harmonic_reinforcement|compound_spacing|register_displacement,tonic_reinforcement|structural_support|extended_harmony,octave_displacement|register_transfer|harmonic_series_anchor|jazz_extensions|contemporary_color,0.0476,0.6667,separate_tones,356.4,0.1
G#3/Ab3,A3,minor second,1,16:15,100,none,dissonant,m2,simple,minor second/augmented unison,12.35,12.13,207.65,220.0,203.87454545454500,216.0,up_half_step|down_half_step|chromatic_voice_exchange,leading_tone_resolution|neighbor_tone,cluster_harmony|semitone_displacement|chromatic_saturation,0.7608,0.0305,fast_beating,126.0,0.4117
